name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
BLANK,C11,5,1/10/22,138.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,C11,6,1/10/22,138.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,C12,1,11/23/21,142.0,0.6666666666666666,1.0,1.0,1.0,-0.3194444444444445,0.6009252125773317
BLANK,C12,2,11/23/21,142.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,C12,4,12/7/21,142.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,C12,5,1/10/22,142.0,-0.3333333333333333,1.0,1.0,1.0,-0.75,0.863667034175061
BLANK,C12,6,1/10/22,142.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,D10,1,11/23/21,182.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,D10,2,11/23/21,182.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,D10,4,12/7/21,182.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,D10,5,1/10/22,182.0,-1.0,1.0,1.0,1.0,-1.4166666666666667,0.6423296759355063
BLANK,D10,6,1/10/22,182.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,D11,1,11/23/21,186.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,D11,2,11/23/21,186.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,D11,4,12/7/21,186.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,D11,5,1/10/22,186.0,-0.3333333333333333,1.0,1.0,1.0,-0.75,0.863667034175061
BLANK,D11,6,1/10/22,186.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,D12,1,11/23/21,190.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,D12,2,11/23/21,190.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,D12,4,12/7/21,190.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,D12,5,1/10/22,190.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,D12,6,1/10/22,190.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,E10,1,11/23/21,230.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,E10,2,11/23/21,230.0,0.6666666666666666,1.0,1.0,1.0,-0.3194444444444445,0.6009252125773317
BLANK,E10,4,12/7/21,230.0,1.0,1.0,1.0,1.0,0.0,0.0
