,name,K_SV,K_SV err,R,N_concs,K_SV (/M),K_SV err (/M),quencher
0,4-AMINO-SAL,4.737390672432412e-06,6.10670248037863e-05,-0.06786170696683365,8,4.7373906724324115,61.067024803786296,False
1,ACETATE,-1.7636605452169858e-06,3.0048809107397247e-06,-0.25024443137462654,8,-1.7636605452169858,3.0048809107397245,False
2,AQDS,0.003983711740321736,0.0003563433479678623,0.9719471924670723,7,3983.711740321736,356.34334796786226,True
3,CHLORAM,0.0009783819090089848,0.00014888498476865893,0.6505747888913026,7,978.3819090089848,148.88498476865894,True
4,DMSO,-1.7295966023876969e-07,5.1794610963370735e-08,-0.4649374504226116,8,-0.17295966023876969,0.051794610963370735,False
5,FAD,0.007609572856346129,0.0005555300846179856,0.9793133974377372,7,7609.572856346129,555.5300846179856,True
6,GLUCOSE,-5.622375393017842e-06,2.9081995411877502e-06,-0.49836763251614946,8,-5.622375393017841,2.9081995411877504,False
7,GLUTAMATE,-2.4392937324317246e-05,6.825021606115157e-05,-0.37121320864386154,8,-24.392937324317245,68.25021606115158,False
8,KANAMY,-0.00012754558668499403,5.8202244881339825e-05,-0.36252202053872923,8,-127.54558668499403,58.20224488133982,False
9,NAD+,0.00011414069570261723,0.0002252524376407691,0.16845139404497747,7,114.14069570261724,225.25243764076907,False
10,PCA,0.002263604926384403,0.0002904152901421534,0.9340409467113968,7,2263.604926384403,290.41529014215337,True
11,PMS,0.0017764132957552709,0.0002715806230290691,0.9551252900242101,7,1776.4132957552708,271.5806230290691,True
12,PYO,0.004918428566736885,0.00029036743504016246,0.9836375875835127,7,4918.428566736885,290.36743504016243,True
13,RIBOFLAV,0.016526858548354503,0.0013125456900120423,0.9555709138450735,8,16526.858548354503,1312.5456900120423,True
14,TETRACY,0.0012926659301586878,0.0002758816594681426,0.8987384257687788,7,1292.6659301586878,275.8816594681426,True
15,TOXO,0.0073332641060129084,0.0004816783620047258,0.98930547080883,7,7333.264106012908,481.67836200472584,True
