name,well,plate,date,pt_fluor,concentration,fold_dilution,replicate,blanked_pt_fluor,expected_blanked_pt_fluor,estimated_true_pt_fluor,F0_F_ratio,F_F0_ratio,u_blanked_pt_fluor,u_expected_blanked_pt_fluor,u_estimated_true_pt_fluor,u_F0_F_ratio,u_F_F0_ratio
AQDS,A7,1,9/29/22,6532.0,450.4504505,1.0,1.0,6467.715277777777,7159.43455955956,6401.905718218218,1.108048964203475,0.9024871935319696,24.842486501689713,267.3581822939861,23.603102220689703,0.041957256072687105,0.03417347744064867
AQDS,A8,1,9/29/22,6845.666666666667,450.4504505,1.0,2.0,6781.381944444444,7158.83395895896,6716.172985485485,1.0562004604899602,0.9467899678211753,23.504945626824252,267.35666443369433,24.162374418351764,0.039984898547061366,0.03584291261447055
AQDS,A9,1,9/29/22,6796.333333333333,450.4504505,1.0,3.0,6732.04861111111,7162.137262262262,6663.536348848848,1.0645436039717036,0.9393696944578898,59.669778522464576,267.35666443369433,59.87163878102393,0.04124281257709533,0.036393293900397
AQDS,B7,1,9/29/22,6646.333333333333,225.22522519999998,2.0,1.0,6582.04861111111,7121.296421421422,6554.37718968969,1.082272929174502,0.9239813479976302,44.79377712272049,267.3561584783488,43.952748389785775,0.04142717969412997,0.035368103835618024
AQDS,B8,1,9/29/22,6793.666666666667,225.22522519999998,2.0,2.0,6729.381944444444,7125.500625625625,6697.506318818819,1.0591442041746428,0.9441584970757291,45.41456230021357,267.35666443369433,45.14381997213766,0.04054828281619572,0.03614616934298806
AQDS,B9,1,9/29/22,7253.666666666667,225.22522519999998,2.0,3.0,7189.381944444444,7127.302427427428,7155.704517017017,0.9913244717037456,1.0087514517636633,56.155876530599926,267.3794314333279,52.373090609369896,0.038057061001682914,0.03872608477961464
AQDS,C7,1,9/29/22,6414.0,112.61261259999999,4.0,1.0,6349.715277777777,7106.281406406407,6337.0588713713705,1.1193875808928544,0.8933456267241884,73.85898141449444,267.36121798871795,75.50651749227623,0.044243447805676975,0.035309209502642
AQDS,C8,1,9/29/22,7398.666666666667,112.61261259999999,4.0,2.0,7334.381944444444,7110.18531031031,7317.821634134133,0.9693629272011273,1.0316053687831164,76.74947862311501,267.35514656478523,76.1300432803904,0.03789778165303163,0.040331184452369724
AQDS,C9,1,9/29/22,6752.0,112.61261259999999,4.0,3.0,6687.715277777777,7111.987112112111,6669.353165665666,1.0636151398487215,0.9401897007053045,77.07885011847696,267.3642536489821,79.22844007656654,0.04202766214179669,0.037150632413957156
AQDS,D7,1,9/29/22,6479.666666666667,56.30630631,8.0,1.0,6415.381944444444,7097.872997997998,6411.133946446446,1.1064540312610134,0.9037881120649098,104.07921247261622,267.36526552807754,105.8241459292315,0.04552208432483929,0.03718393849793894
AQDS,D8,1,9/29/22,7767.333333333333,56.30630631,8.0,2.0,7703.04861111111,7103.879004004004,7692.7946071071065,0.9221128812468807,1.0844659263926564,122.98570026194078,267.35514656478523,123.39967660642725,0.03776774499113703,0.04441737382975483
AQDS,D9,1,9/29/22,6537.333333333333,56.30630631,8.0,3.0,6473.04861111111,7097.272397397398,6469.401213713713,1.0964886495156723,0.9120021447022804,112.011081902283,267.36121798871795,110.87726871792009,0.04539473602765519,0.037756976904140475
AQDS,E7,1,9/29/22,6721.0,28.153153149999998,16.0,1.0,6656.715277777777,7093.969094094094,6656.371183683684,1.0656895182450352,0.9383596093229744,71.19795738352776,267.35514656478523,71.54854926052339,0.04176321074105008,0.03677329038534659
