,time_s,well,pt_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_pt_fluor,u_blanked_pt_fluor
295,420.092,G2,99,7.8515625,64,25 mM HEPES pH 7,PYO,2,1,9/29/22,34.71527777777777,4.018598709330847
297,140.037,G3,88,7.8515625,64,25 mM HEPES pH 7,PYO,3,1,9/29/22,23.71527777777777,4.018598709330847
298,280.06,G3,91,7.8515625,64,25 mM HEPES pH 7,PYO,3,1,9/29/22,26.71527777777777,4.018598709330847
299,420.092,G3,89,7.8515625,64,25 mM HEPES pH 7,PYO,3,1,9/29/22,24.71527777777777,4.018598709330847
301,140.037,G4,385,7.8125,64,25 mM HEPES pH 7,PMS,1,1,9/29/22,320.71527777777777,4.018598709330847
302,280.06,G4,382,7.8125,64,25 mM HEPES pH 7,PMS,1,1,9/29/22,317.71527777777777,4.018598709330847
303,420.092,G4,387,7.8125,64,25 mM HEPES pH 7,PMS,1,1,9/29/22,322.71527777777777,4.018598709330847
305,140.037,G5,336,7.8125,64,25 mM HEPES pH 7,PMS,2,1,9/29/22,271.71527777777777,4.018598709330847
306,280.06,G5,347,7.8125,64,25 mM HEPES pH 7,PMS,2,1,9/29/22,282.71527777777777,4.018598709330847
307,420.092,G5,331,7.8125,64,25 mM HEPES pH 7,PMS,2,1,9/29/22,266.71527777777777,4.018598709330847
309,140.037,G6,348,7.8125,64,25 mM HEPES pH 7,PMS,3,1,9/29/22,283.71527777777777,4.018598709330847
310,280.06,G6,349,7.8125,64,25 mM HEPES pH 7,PMS,3,1,9/29/22,284.71527777777777,4.018598709330847
311,420.092,G6,342,7.8125,64,25 mM HEPES pH 7,PMS,3,1,9/29/22,277.71527777777777,4.018598709330847
313,140.037,G7,65,7.8125,64,25 mM HEPES pH 7,AQDS,1,1,9/29/22,0.7152777777777715,4.018598709330847
314,280.06,G7,61,7.8125,64,25 mM HEPES pH 7,AQDS,1,1,9/29/22,-3.2847222222222285,4.018598709330847
315,420.092,G7,64,7.8125,64,25 mM HEPES pH 7,AQDS,1,1,9/29/22,-0.28472222222222854,4.018598709330847
317,140.037,G8,65,7.8125,64,25 mM HEPES pH 7,AQDS,2,1,9/29/22,0.7152777777777715,4.018598709330847
318,280.06,G8,69,7.8125,64,25 mM HEPES pH 7,AQDS,2,1,9/29/22,4.7152777777777715,4.018598709330847
319,420.092,G8,65,7.8125,64,25 mM HEPES pH 7,AQDS,2,1,9/29/22,0.7152777777777715,4.018598709330847
321,140.037,G9,69,7.8125,64,25 mM HEPES pH 7,AQDS,3,1,9/29/22,4.7152777777777715,4.018598709330847
322,280.06,G9,70,7.8125,64,25 mM HEPES pH 7,AQDS,3,1,9/29/22,5.7152777777777715,4.018598709330847
323,420.092,G9,70,7.8125,64,25 mM HEPES pH 7,AQDS,3,1,9/29/22,5.7152777777777715,4.018598709330847
325,140.037,G10,67,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,2.7152777777777715,4.018598709330847
326,280.06,G10,65,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,0.7152777777777715,4.018598709330847
327,420.092,G10,68,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,3.7152777777777715,4.018598709330847
329,140.037,G11,67,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,2.7152777777777715,4.018598709330847
330,280.06,G11,64,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-0.28472222222222854,4.018598709330847
331,420.092,G11,65,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,0.7152777777777715,4.018598709330847
333,140.037,G12,75,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,10.715277777777771,4.018598709330847
334,280.06,G12,68,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,3.7152777777777715,4.018598709330847
335,420.092,G12,66,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,1.7152777777777715,4.018598709330847
337,140.037,H1,83,3.92578125,128,25 mM HEPES pH 7,PYO,1,1,9/29/22,18.71527777777777,4.018598709330847
338,280.06,H1,81,3.92578125,128,25 mM HEPES pH 7,PYO,1,1,9/29/22,16.71527777777777,4.018598709330847
339,420.092,H1,85,3.92578125,128,25 mM HEPES pH 7,PYO,1,1,9/29/22,20.71527777777777,4.018598709330847
341,140.037,H2,80,3.92578125,128,25 mM HEPES pH 7,PYO,2,1,9/29/22,15.715277777777771,4.018598709330847
342,280.06,H2,79,3.92578125,128,25 mM HEPES pH 7,PYO,2,1,9/29/22,14.715277777777771,4.018598709330847
343,420.092,H2,82,3.92578125,128,25 mM HEPES pH 7,PYO,2,1,9/29/22,17.71527777777777,4.018598709330847
345,140.037,H3,81,3.92578125,128,25 mM HEPES pH 7,PYO,3,1,9/29/22,16.71527777777777,4.018598709330847
346,280.06,H3,80,3.92578125,128,25 mM HEPES pH 7,PYO,3,1,9/29/22,15.715277777777771,4.018598709330847
347,420.092,H3,80,3.92578125,128,25 mM HEPES pH 7,PYO,3,1,9/29/22,15.715277777777771,4.018598709330847
349,140.037,H4,208,3.90625,128,25 mM HEPES pH 7,PMS,1,1,9/29/22,143.71527777777777,4.018598709330847
350,280.06,H4,213,3.90625,128,25 mM HEPES pH 7,PMS,1,1,9/29/22,148.71527777777777,4.018598709330847
351,420.092,H4,208,3.90625,128,25 mM HEPES pH 7,PMS,1,1,9/29/22,143.71527777777777,4.018598709330847
353,140.037,H5,204,3.90625,128,25 mM HEPES pH 7,PMS,2,1,9/29/22,139.71527777777777,4.018598709330847
354,280.06,H5,199,3.90625,128,25 mM HEPES pH 7,PMS,2,1,9/29/22,134.71527777777777,4.018598709330847
355,420.092,H5,204,3.90625,128,25 mM HEPES pH 7,PMS,2,1,9/29/22,139.71527777777777,4.018598709330847
357,140.037,H6,196,3.90625,128,25 mM HEPES pH 7,PMS,3,1,9/29/22,131.71527777777777,4.018598709330847
358,280.06,H6,203,3.90625,128,25 mM HEPES pH 7,PMS,3,1,9/29/22,138.71527777777777,4.018598709330847
359,420.092,H6,205,3.90625,128,25 mM HEPES pH 7,PMS,3,1,9/29/22,140.71527777777777,4.018598709330847
361,140.037,H7,67,3.90625,128,25 mM HEPES pH 7,AQDS,1,1,9/29/22,2.7152777777777715,4.018598709330847
362,280.06,H7,61,3.90625,128,25 mM HEPES pH 7,AQDS,1,1,9/29/22,-3.2847222222222285,4.018598709330847
363,420.092,H7,64,3.90625,128,25 mM HEPES pH 7,AQDS,1,1,9/29/22,-0.28472222222222854,4.018598709330847
365,140.037,H8,68,3.90625,128,25 mM HEPES pH 7,AQDS,2,1,9/29/22,3.7152777777777715,4.018598709330847
366,280.06,H8,67,3.90625,128,25 mM HEPES pH 7,AQDS,2,1,9/29/22,2.7152777777777715,4.018598709330847
367,420.092,H8,67,3.90625,128,25 mM HEPES pH 7,AQDS,2,1,9/29/22,2.7152777777777715,4.018598709330847
369,140.037,H9,70,3.90625,128,25 mM HEPES pH 7,AQDS,3,1,9/29/22,5.7152777777777715,4.018598709330847
370,280.06,H9,66,3.90625,128,25 mM HEPES pH 7,AQDS,3,1,9/29/22,1.7152777777777715,4.018598709330847
371,420.092,H9,70,3.90625,128,25 mM HEPES pH 7,AQDS,3,1,9/29/22,5.7152777777777715,4.018598709330847
373,140.037,H10,69,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,4.7152777777777715,4.018598709330847
374,280.06,H10,69,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,4.7152777777777715,4.018598709330847
375,420.092,H10,69,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,4.7152777777777715,4.018598709330847
377,140.037,H11,69,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,4.7152777777777715,4.018598709330847
378,280.06,H11,64,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-0.28472222222222854,4.018598709330847
379,420.092,H11,63,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-1.2847222222222285,4.018598709330847
381,140.037,H12,68,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,3.7152777777777715,4.018598709330847
382,280.06,H12,67,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,2.7152777777777715,4.018598709330847
383,420.092,H12,67,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,2.7152777777777715,4.018598709330847
1,140.021,A1,97,500.0,1,25 mM HEPES pH 7,PCA,1,2,9/29/22,32.71527777777777,4.018598709330847
2,280.05,A1,97,500.0,1,25 mM HEPES pH 7,PCA,1,2,9/29/22,32.71527777777777,4.018598709330847
3,420.068,A1,95,500.0,1,25 mM HEPES pH 7,PCA,1,2,9/29/22,30.71527777777777,4.018598709330847
5,140.021,A2,94,500.0,1,25 mM HEPES pH 7,PCA,2,2,9/29/22,29.71527777777777,4.018598709330847
6,280.05,A2,95,500.0,1,25 mM HEPES pH 7,PCA,2,2,9/29/22,30.71527777777777,4.018598709330847
7,420.068,A2,98,500.0,1,25 mM HEPES pH 7,PCA,2,2,9/29/22,33.71527777777777,4.018598709330847
9,140.021,A3,95,500.0,1,25 mM HEPES pH 7,PCA,3,2,9/29/22,30.71527777777777,4.018598709330847
10,280.05,A3,92,500.0,1,25 mM HEPES pH 7,PCA,3,2,9/29/22,27.71527777777777,4.018598709330847
11,420.068,A3,94,500.0,1,25 mM HEPES pH 7,PCA,3,2,9/29/22,29.71527777777777,4.018598709330847
13,140.021,A4,1601,500.0,1,25 mM HEPES pH 7,TOXO,1,2,9/29/22,1536.7152777777778,4.018598709330847
14,280.05,A4,1607,500.0,1,25 mM HEPES pH 7,TOXO,1,2,9/29/22,1542.7152777777778,4.018598709330847
15,420.068,A4,1597,500.0,1,25 mM HEPES pH 7,TOXO,1,2,9/29/22,1532.7152777777778,4.018598709330847
17,140.021,A5,1609,500.0,1,25 mM HEPES pH 7,TOXO,2,2,9/29/22,1544.7152777777778,4.018598709330847
18,280.05,A5,1603,500.0,1,25 mM HEPES pH 7,TOXO,2,2,9/29/22,1538.7152777777778,4.018598709330847
19,420.068,A5,1600,500.0,1,25 mM HEPES pH 7,TOXO,2,2,9/29/22,1535.7152777777778,4.018598709330847
21,140.021,A6,1603,500.0,1,25 mM HEPES pH 7,TOXO,3,2,9/29/22,1538.7152777777778,4.018598709330847
22,280.05,A6,1590,500.0,1,25 mM HEPES pH 7,TOXO,3,2,9/29/22,1525.7152777777778,4.018598709330847
23,420.068,A6,1611,500.0,1,25 mM HEPES pH 7,TOXO,3,2,9/29/22,1546.7152777777778,4.018598709330847
25,140.021,A7,52,705000.0,1,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-12.284722222222229,4.018598709330847
26,280.05,A7,58,705000.0,1,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-6.2847222222222285,4.018598709330847
27,420.068,A7,60,705000.0,1,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-4.2847222222222285,4.018598709330847
29,140.021,A8,58,705000.0,1,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-6.2847222222222285,4.018598709330847
30,280.05,A8,60,705000.0,1,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-4.2847222222222285,4.018598709330847
31,420.068,A8,60,705000.0,1,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-4.2847222222222285,4.018598709330847
33,140.021,A9,60,705000.0,1,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-4.2847222222222285,4.018598709330847
34,280.05,A9,60,705000.0,1,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-4.2847222222222285,4.018598709330847
35,420.068,A9,64,705000.0,1,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-0.28472222222222854,4.018598709330847
37,140.021,A10,65,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,0.7152777777777715,4.018598709330847
38,280.05,A10,67,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,2.7152777777777715,4.018598709330847
39,420.068,A10,64,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-0.28472222222222854,4.018598709330847
41,140.021,A11,68,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,3.7152777777777715,4.018598709330847
42,280.05,A11,68,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,3.7152777777777715,4.018598709330847
43,420.068,A11,66,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,1.7152777777777715,4.018598709330847
45,140.021,A12,67,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,2.7152777777777715,4.018598709330847
46,280.05,A12,68,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,3.7152777777777715,4.018598709330847
47,420.068,A12,66,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,1.7152777777777715,4.018598709330847
49,140.021,B1,76,250.0,2,25 mM HEPES pH 7,PCA,1,2,9/29/22,11.715277777777771,4.018598709330847
50,280.05,B1,76,250.0,2,25 mM HEPES pH 7,PCA,1,2,9/29/22,11.715277777777771,4.018598709330847
51,420.068,B1,77,250.0,2,25 mM HEPES pH 7,PCA,1,2,9/29/22,12.715277777777771,4.018598709330847
53,140.021,B2,79,250.0,2,25 mM HEPES pH 7,PCA,2,2,9/29/22,14.715277777777771,4.018598709330847
54,280.05,B2,77,250.0,2,25 mM HEPES pH 7,PCA,2,2,9/29/22,12.715277777777771,4.018598709330847
55,420.068,B2,77,250.0,2,25 mM HEPES pH 7,PCA,2,2,9/29/22,12.715277777777771,4.018598709330847
57,140.021,B3,78,250.0,2,25 mM HEPES pH 7,PCA,3,2,9/29/22,13.715277777777771,4.018598709330847
58,280.05,B3,77,250.0,2,25 mM HEPES pH 7,PCA,3,2,9/29/22,12.715277777777771,4.018598709330847
59,420.068,B3,78,250.0,2,25 mM HEPES pH 7,PCA,3,2,9/29/22,13.715277777777771,4.018598709330847
61,140.021,B4,1004,250.0,2,25 mM HEPES pH 7,TOXO,1,2,9/29/22,939.7152777777778,4.018598709330847
62,280.05,B4,988,250.0,2,25 mM HEPES pH 7,TOXO,1,2,9/29/22,923.7152777777778,4.018598709330847
63,420.068,B4,980,250.0,2,25 mM HEPES pH 7,TOXO,1,2,9/29/22,915.7152777777778,4.018598709330847
65,140.021,B5,995,250.0,2,25 mM HEPES pH 7,TOXO,2,2,9/29/22,930.7152777777778,4.018598709330847
66,280.05,B5,1003,250.0,2,25 mM HEPES pH 7,TOXO,2,2,9/29/22,938.7152777777778,4.018598709330847
67,420.068,B5,1008,250.0,2,25 mM HEPES pH 7,TOXO,2,2,9/29/22,943.7152777777778,4.018598709330847
69,140.021,B6,1054,250.0,2,25 mM HEPES pH 7,TOXO,3,2,9/29/22,989.7152777777778,4.018598709330847
70,280.05,B6,1039,250.0,2,25 mM HEPES pH 7,TOXO,3,2,9/29/22,974.7152777777778,4.018598709330847
71,420.068,B6,1053,250.0,2,25 mM HEPES pH 7,TOXO,3,2,9/29/22,988.7152777777778,4.018598709330847
73,140.021,B7,55,353000.0,2,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-9.284722222222229,4.018598709330847
74,280.05,B7,56,353000.0,2,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-8.284722222222229,4.018598709330847
75,420.068,B7,57,353000.0,2,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-7.2847222222222285,4.018598709330847
77,140.021,B8,61,353000.0,2,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-3.2847222222222285,4.018598709330847
78,280.05,B8,57,353000.0,2,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-7.2847222222222285,4.018598709330847
79,420.068,B8,58,353000.0,2,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-6.2847222222222285,4.018598709330847
81,140.021,B9,58,353000.0,2,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-6.2847222222222285,4.018598709330847
82,280.05,B9,61,353000.0,2,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-3.2847222222222285,4.018598709330847
83,420.068,B9,63,353000.0,2,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-1.2847222222222285,4.018598709330847
85,140.021,B10,65,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,0.7152777777777715,4.018598709330847
86,280.05,B10,63,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-1.2847222222222285,4.018598709330847
87,420.068,B10,63,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-1.2847222222222285,4.018598709330847
89,140.021,B11,63,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-1.2847222222222285,4.018598709330847
90,280.05,B11,64,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-0.28472222222222854,4.018598709330847
91,420.068,B11,64,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-0.28472222222222854,4.018598709330847
93,140.021,B12,72,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,7.7152777777777715,4.018598709330847
94,280.05,B12,67,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,2.7152777777777715,4.018598709330847
95,420.068,B12,80,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,15.715277777777771,4.018598709330847
97,140.021,C1,66,125.0,4,25 mM HEPES pH 7,PCA,1,2,9/29/22,1.7152777777777715,4.018598709330847
98,280.05,C1,64,125.0,4,25 mM HEPES pH 7,PCA,1,2,9/29/22,-0.28472222222222854,4.018598709330847
99,420.068,C1,63,125.0,4,25 mM HEPES pH 7,PCA,1,2,9/29/22,-1.2847222222222285,4.018598709330847
101,140.021,C2,64,125.0,4,25 mM HEPES pH 7,PCA,2,2,9/29/22,-0.28472222222222854,4.018598709330847
102,280.05,C2,65,125.0,4,25 mM HEPES pH 7,PCA,2,2,9/29/22,0.7152777777777715,4.018598709330847
103,420.068,C2,64,125.0,4,25 mM HEPES pH 7,PCA,2,2,9/29/22,-0.28472222222222854,4.018598709330847
105,140.021,C3,67,125.0,4,25 mM HEPES pH 7,PCA,3,2,9/29/22,2.7152777777777715,4.018598709330847
106,280.05,C3,66,125.0,4,25 mM HEPES pH 7,PCA,3,2,9/29/22,1.7152777777777715,4.018598709330847
107,420.068,C3,70,125.0,4,25 mM HEPES pH 7,PCA,3,2,9/29/22,5.7152777777777715,4.018598709330847
109,140.021,C4,514,125.0,4,25 mM HEPES pH 7,TOXO,1,2,9/29/22,449.71527777777777,4.018598709330847
110,280.05,C4,512,125.0,4,25 mM HEPES pH 7,TOXO,1,2,9/29/22,447.71527777777777,4.018598709330847
111,420.068,C4,508,125.0,4,25 mM HEPES pH 7,TOXO,1,2,9/29/22,443.71527777777777,4.018598709330847
113,140.021,C5,576,125.0,4,25 mM HEPES pH 7,TOXO,2,2,9/29/22,511.71527777777777,4.018598709330847
114,280.05,C5,580,125.0,4,25 mM HEPES pH 7,TOXO,2,2,9/29/22,515.7152777777778,4.018598709330847
115,420.068,C5,595,125.0,4,25 mM HEPES pH 7,TOXO,2,2,9/29/22,530.7152777777778,4.018598709330847
117,140.021,C6,554,125.0,4,25 mM HEPES pH 7,TOXO,3,2,9/29/22,489.71527777777777,4.018598709330847
118,280.05,C6,554,125.0,4,25 mM HEPES pH 7,TOXO,3,2,9/29/22,489.71527777777777,4.018598709330847
119,420.068,C6,564,125.0,4,25 mM HEPES pH 7,TOXO,3,2,9/29/22,499.71527777777777,4.018598709330847
121,140.021,C7,56,176000.0,4,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-8.284722222222229,4.018598709330847
122,280.05,C7,56,176000.0,4,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-8.284722222222229,4.018598709330847
123,420.068,C7,59,176000.0,4,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-5.2847222222222285,4.018598709330847
125,140.021,C8,61,176000.0,4,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-3.2847222222222285,4.018598709330847
126,280.05,C8,58,176000.0,4,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-6.2847222222222285,4.018598709330847
127,420.068,C8,59,176000.0,4,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-5.2847222222222285,4.018598709330847
129,140.021,C9,60,176000.0,4,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-4.2847222222222285,4.018598709330847
130,280.05,C9,60,176000.0,4,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-4.2847222222222285,4.018598709330847
131,420.068,C9,63,176000.0,4,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-1.2847222222222285,4.018598709330847
133,140.021,C10,65,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,0.7152777777777715,4.018598709330847
134,280.05,C10,61,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-3.2847222222222285,4.018598709330847
135,420.068,C10,63,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-1.2847222222222285,4.018598709330847
137,140.021,C11,62,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-2.2847222222222285,4.018598709330847
138,280.05,C11,63,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-1.2847222222222285,4.018598709330847
139,420.068,C11,66,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,1.7152777777777715,4.018598709330847
141,140.021,C12,66,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,1.7152777777777715,4.018598709330847
142,280.05,C12,64,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-0.28472222222222854,4.018598709330847
143,420.068,C12,67,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,2.7152777777777715,4.018598709330847
145,140.021,D1,57,62.5,8,25 mM HEPES pH 7,PCA,1,2,9/29/22,-7.2847222222222285,4.018598709330847
146,280.05,D1,57,62.5,8,25 mM HEPES pH 7,PCA,1,2,9/29/22,-7.2847222222222285,4.018598709330847
147,420.068,D1,58,62.5,8,25 mM HEPES pH 7,PCA,1,2,9/29/22,-6.2847222222222285,4.018598709330847
149,140.021,D2,60,62.5,8,25 mM HEPES pH 7,PCA,2,2,9/29/22,-4.2847222222222285,4.018598709330847
150,280.05,D2,57,62.5,8,25 mM HEPES pH 7,PCA,2,2,9/29/22,-7.2847222222222285,4.018598709330847
151,420.068,D2,58,62.5,8,25 mM HEPES pH 7,PCA,2,2,9/29/22,-6.2847222222222285,4.018598709330847
153,140.021,D3,60,62.5,8,25 mM HEPES pH 7,PCA,3,2,9/29/22,-4.2847222222222285,4.018598709330847
154,280.05,D3,61,62.5,8,25 mM HEPES pH 7,PCA,3,2,9/29/22,-3.2847222222222285,4.018598709330847
155,420.068,D3,59,62.5,8,25 mM HEPES pH 7,PCA,3,2,9/29/22,-5.2847222222222285,4.018598709330847
157,140.021,D4,326,62.5,8,25 mM HEPES pH 7,TOXO,1,2,9/29/22,261.71527777777777,4.018598709330847
158,280.05,D4,316,62.5,8,25 mM HEPES pH 7,TOXO,1,2,9/29/22,251.71527777777777,4.018598709330847
159,420.068,D4,324,62.5,8,25 mM HEPES pH 7,TOXO,1,2,9/29/22,259.71527777777777,4.018598709330847
161,140.021,D5,317,62.5,8,25 mM HEPES pH 7,TOXO,2,2,9/29/22,252.71527777777777,4.018598709330847
162,280.05,D5,317,62.5,8,25 mM HEPES pH 7,TOXO,2,2,9/29/22,252.71527777777777,4.018598709330847
163,420.068,D5,317,62.5,8,25 mM HEPES pH 7,TOXO,2,2,9/29/22,252.71527777777777,4.018598709330847
165,140.021,D6,337,62.5,8,25 mM HEPES pH 7,TOXO,3,2,9/29/22,272.71527777777777,4.018598709330847
166,280.05,D6,336,62.5,8,25 mM HEPES pH 7,TOXO,3,2,9/29/22,271.71527777777777,4.018598709330847
167,420.068,D6,338,62.5,8,25 mM HEPES pH 7,TOXO,3,2,9/29/22,273.71527777777777,4.018598709330847
169,140.021,D7,59,88100.0,8,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-5.2847222222222285,4.018598709330847
170,280.05,D7,57,88100.0,8,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-7.2847222222222285,4.018598709330847
171,420.068,D7,54,88100.0,8,25 mM HEPES pH 7,DMSO,1,2,9/29/22,-10.284722222222229,4.018598709330847
173,140.021,D8,60,88100.0,8,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-4.2847222222222285,4.018598709330847
174,280.05,D8,54,88100.0,8,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-10.284722222222229,4.018598709330847
175,420.068,D8,57,88100.0,8,25 mM HEPES pH 7,DMSO,2,2,9/29/22,-7.2847222222222285,4.018598709330847
177,140.021,D9,59,88100.0,8,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-5.2847222222222285,4.018598709330847
178,280.05,D9,61,88100.0,8,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-3.2847222222222285,4.018598709330847
179,420.068,D9,61,88100.0,8,25 mM HEPES pH 7,DMSO,3,2,9/29/22,-3.2847222222222285,4.018598709330847
181,140.021,D10,62,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-2.2847222222222285,4.018598709330847
182,280.05,D10,63,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-1.2847222222222285,4.018598709330847
183,420.068,D10,62,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-2.2847222222222285,4.018598709330847
185,140.021,D11,62,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-2.2847222222222285,4.018598709330847
186,280.05,D11,64,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-0.28472222222222854,4.018598709330847
187,420.068,D11,65,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,0.7152777777777715,4.018598709330847
189,140.021,D12,63,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-1.2847222222222285,4.018598709330847
190,280.05,D12,64,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,-0.28472222222222854,4.018598709330847
191,420.068,D12,66,1.0,1,25 mM HEPES pH 7,BLANK,1,2,9/29/22,1.7152777777777715,4.018598709330847
193,140.021,E1,54,31.25,16,25 mM HEPES pH 7,PCA,1,2,9/29/22,-10.284722222222229,4.018598709330847
194,280.05,E1,54,31.25,16,25 mM HEPES pH 7,PCA,1,2,9/29/22,-10.284722222222229,4.018598709330847
195,420.068,E1,55,31.25,16,25 mM HEPES pH 7,PCA,1,2,9/29/22,-9.284722222222229,4.018598709330847
197,140.021,E2,56,31.25,16,25 mM HEPES pH 7,PCA,2,2,9/29/22,-8.284722222222229,4.018598709330847
198,280.05,E2,59,31.25,16,25 mM HEPES pH 7,PCA,2,2,9/29/22,-5.2847222222222285,4.018598709330847
199,420.068,E2,60,31.25,16,25 mM HEPES pH 7,PCA,2,2,9/29/22,-4.2847222222222285,4.018598709330847
201,140.021,E3,58,31.25,16,25 mM HEPES pH 7,PCA,3,2,9/29/22,-6.2847222222222285,4.018598709330847
202,280.05,E3,56,31.25,16,25 mM HEPES pH 7,PCA,3,2,9/29/22,-8.284722222222229,4.018598709330847
203,420.068,E3,58,31.25,16,25 mM HEPES pH 7,PCA,3,2,9/29/22,-6.2847222222222285,4.018598709330847
205,140.021,E4,191,31.25,16,25 mM HEPES pH 7,TOXO,1,2,9/29/22,126.71527777777777,4.018598709330847
206,280.05,E4,192,31.25,16,25 mM HEPES pH 7,TOXO,1,2,9/29/22,127.71527777777777,4.018598709330847
207,420.068,E4,194,31.25,16,25 mM HEPES pH 7,TOXO,1,2,9/29/22,129.71527777777777,4.018598709330847
209,140.021,E5,200,31.25,16,25 mM HEPES pH 7,TOXO,2,2,9/29/22,135.71527777777777,4.018598709330847
