,name,K_SV,K_SV err,R,K_SV (/M),K_SV err (/M),quencher
0,AQDS,0.00018570791823611092,8.884671421108582e-05,0.35840750053893217,185.7079182361109,88.84671421108581,False
1,DMSO,-1.5382751096208513e-08,6.176426858921759e-08,0.24779190580736582,-0.015382751096208513,0.06176426858921759,False
2,PCA,-3.3762145614797584e-05,8.588935463121933e-05,-0.12509968787849957,-33.76214561479758,85.88935463121933,False
3,PMS,0.0058649556847108425,0.0004399660330740964,0.9851717948089947,5864.955684710842,439.9660330740964,True
4,PYO,0.006149524568796082,0.0002476650629942541,0.9810602904787653,6149.524568796082,247.66506299425413,True
5,TOXO,0.0005294278850163665,0.00010890949892623423,0.9355165661118143,529.4278850163664,108.90949892623422,True
