name,well,plate,date,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
BLANK,E9,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,F10,1,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,F10,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,F11,1,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,F11,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,F12,1,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,F12,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,F9,1,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,F9,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,G10,1,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,G10,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,G11,1,5/27/22,1.5,1.0,1.0,1.0,0.43229166666666674,0.6299108984333387
BLANK,G11,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,G12,1,5/27/22,1.25,1.0,1.0,1.0,0.18229166666666674,0.559869990829802
BLANK,G12,2,5/27/22,1.25,1.0,1.0,1.0,0.18229166666666674,0.559869990829802
BLANK,G9,1,5/27/22,1.25,1.0,1.0,1.0,0.18229166666666674,0.559869990829802
BLANK,G9,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,H10,1,5/27/22,1.25,1.0,1.0,1.0,0.18229166666666674,0.559869990829802
BLANK,H10,2,5/27/22,1.25,1.0,1.0,1.0,0.18229166666666674,0.559869990829802
BLANK,H11,1,5/27/22,1.25,1.0,1.0,1.0,0.18229166666666674,0.559869990829802
BLANK,H11,2,5/27/22,1.25,1.0,1.0,1.0,0.18229166666666674,0.559869990829802
BLANK,H12,1,5/27/22,1.5,1.0,1.0,1.0,0.43229166666666674,0.6299108984333387
BLANK,H12,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,H9,1,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
BLANK,H9,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
CG,A10,1,5/27/22,6.0,0.5,2.0,1.0,4.932291666666667,0.25190158124109224
CG,A11,1,5/27/22,3.75,0.25,4.0,1.0,2.682291666666667,0.559869990829802
CG,A12,1,5/27/22,2.0,0.125,8.0,1.0,0.9322916666666667,0.25190158124109224
CG,A9,1,5/27/22,10.75,1.0,1.0,1.0,9.682291666666666,0.5598699908298022
CG,B10,1,5/27/22,6.0,0.5,2.0,1.0,4.932291666666667,0.25190158124109224
CG,B11,1,5/27/22,4.0,0.25,4.0,1.0,2.932291666666667,0.25190158124109224
CG,B12,1,5/27/22,2.75,0.125,8.0,1.0,1.6822916666666667,0.559869990829802
CG,B9,1,5/27/22,10.5,1.0,1.0,1.0,9.432291666666666,0.6299108984333387
CG,C10,1,5/27/22,6.0,0.5,2.0,2.0,4.932291666666667,0.25190158124109224
CG,C11,1,5/27/22,4.75,0.25,4.0,2.0,3.682291666666667,0.559869990829802
CG,C12,1,5/27/22,3.0,0.125,8.0,2.0,1.9322916666666667,0.25190158124109224
CG,C9,1,5/27/22,11.25,1.0,1.0,2.0,10.182291666666666,0.5598699908298022
CG,D10,1,5/27/22,7.0,0.5,2.0,2.0,5.932291666666667,0.25190158124109224
CG,D11,1,5/27/22,4.0,0.25,4.0,2.0,2.932291666666667,0.25190158124109224
CG,D12,1,5/27/22,3.0,0.125,8.0,2.0,1.9322916666666667,0.25190158124109224
CG,D9,1,5/27/22,11.0,1.0,1.0,2.0,9.932291666666666,0.25190158124109224
CS,A1,2,5/27/22,50.75,1.0,1.0,1.0,49.682291666666664,0.559869990829802
CS,A2,2,5/27/22,32.75,0.5,2.0,1.0,31.682291666666668,0.559869990829802
CS,A3,2,5/27/22,14.0,0.25,4.0,1.0,12.932291666666666,0.25190158124109224
CS,A4,2,5/27/22,10.0,0.125,8.0,1.0,8.932291666666666,0.25190158124109224
