,name,K_SV,K_SV err,R,N_concs,quencher
0,AGG,0.6802411807793203,0.05727874680752654,0.6382627111217931,4,True
1,BG,0.4875514914778792,0.0528649965320952,0.684223645461204,4,True
2,CG,0.4618307179076646,0.054092224350575036,0.9151998247484455,4,True
3,CS,0.6383536830235512,0.05508352446932252,0.6135275985243047,4,True
4,EC WT,0.2945954863473976,0.04734042565954669,0.9433862117481225,4,True
5,MM4,0.1640619412869543,0.043345341781900845,0.6642716242502132,4,True
6,PA14 WT,1.2909622416936295,0.07291719097027771,0.9801364522273683,4,True
7,PO,0.6995485362943784,0.05652030021703003,0.864442493151245,4,True
8,PS,0.7128170267860114,0.05839936362320819,0.9418704825758749,4,True
