,name,K_SV,K_SV err,R,N_concs,quencher
0,BG WT,0.3435940186875703,0.04000558505446644,0.7267176043303445,6,True
1,BG dtox,0.3215341883188757,0.04025802189688671,0.777878610848085,6,True
2,EC WT,0.16785175183692072,0.0374422358727782,0.2034055326345696,6,False
3,PA14 WT,1.7308435580764114,0.07230463068463999,0.9822001532943823,6,True
4,PA14 dphz,0.6467540400038782,0.04709082105256501,0.853181770634746,6,True
5,PA14 dphz dside,0.6718779874234038,0.04804884943543086,0.7604097265124544,6,True
6,PA14 dside,0.840698414236207,0.05038021822725813,0.7493644550244167,6,True
