,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,u_blanked_rtdp_fluor
71,71,224.037,B6,4,0.03125,32,MM noC,PA14 WT,1,1,12/3/21,2.986111111111111,0.11785113019775789
73,73,74.668,B7,26,1.0,1,MM noC,PA14 dside,1,1,12/3/21,24.98611111111111,0.11785113019775789
74,74,149.35,B7,26,1.0,1,MM noC,PA14 dside,1,1,12/3/21,24.98611111111111,0.11785113019775789
75,75,224.037,B7,26,1.0,1,MM noC,PA14 dside,1,1,12/3/21,24.98611111111111,0.11785113019775789
77,77,74.668,B8,12,0.5,2,MM noC,PA14 dside,1,1,12/3/21,10.98611111111111,0.11785113019775789
78,78,149.35,B8,12,0.5,2,MM noC,PA14 dside,1,1,12/3/21,10.98611111111111,0.11785113019775789
79,79,224.037,B8,12,0.5,2,MM noC,PA14 dside,1,1,12/3/21,10.98611111111111,0.11785113019775789
81,81,74.668,B9,7,0.25,4,MM noC,PA14 dside,1,1,12/3/21,5.986111111111111,0.11785113019775789
82,82,149.35,B9,7,0.25,4,MM noC,PA14 dside,1,1,12/3/21,5.986111111111111,0.11785113019775789
83,83,224.037,B9,7,0.25,4,MM noC,PA14 dside,1,1,12/3/21,5.986111111111111,0.11785113019775789
85,85,74.668,B10,3,0.125,8,MM noC,PA14 dside,1,1,12/3/21,1.9861111111111112,0.11785113019775789
86,86,149.35,B10,3,0.125,8,MM noC,PA14 dside,1,1,12/3/21,1.9861111111111112,0.11785113019775789
87,87,224.037,B10,4,0.125,8,MM noC,PA14 dside,1,1,12/3/21,2.986111111111111,0.11785113019775789
89,89,74.668,B11,3,0.0625,16,MM noC,PA14 dside,1,1,12/3/21,1.9861111111111112,0.11785113019775789
90,90,149.35,B11,3,0.0625,16,MM noC,PA14 dside,1,1,12/3/21,1.9861111111111112,0.11785113019775789
91,91,224.037,B11,3,0.0625,16,MM noC,PA14 dside,1,1,12/3/21,1.9861111111111112,0.11785113019775789
93,93,74.668,B12,1,0.03125,32,MM noC,PA14 dside,1,1,12/3/21,-0.01388888888888884,0.11785113019775789
94,94,149.35,B12,2,0.03125,32,MM noC,PA14 dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
95,95,224.037,B12,2,0.03125,32,MM noC,PA14 dside,1,1,12/3/21,0.9861111111111112,0.11785113019775789
97,97,74.668,C1,63,1.0,1,MM noC,PA14 WT,2,1,12/3/21,61.986111111111114,0.11785113019775789
98,98,149.35,C1,62,1.0,1,MM noC,PA14 WT,2,1,12/3/21,60.986111111111114,0.11785113019775789
99,99,224.037,C1,62,1.0,1,MM noC,PA14 WT,2,1,12/3/21,60.986111111111114,0.11785113019775789
101,101,74.668,C2,35,0.5,2,MM noC,PA14 WT,2,1,12/3/21,33.986111111111114,0.11785113019775789
102,102,149.35,C2,35,0.5,2,MM noC,PA14 WT,2,1,12/3/21,33.986111111111114,0.11785113019775789
103,103,224.037,C2,35,0.5,2,MM noC,PA14 WT,2,1,12/3/21,33.986111111111114,0.11785113019775789
105,105,74.668,C3,22,0.25,4,MM noC,PA14 WT,2,1,12/3/21,20.98611111111111,0.11785113019775789
106,106,149.35,C3,22,0.25,4,MM noC,PA14 WT,2,1,12/3/21,20.98611111111111,0.11785113019775789
107,107,224.037,C3,22,0.25,4,MM noC,PA14 WT,2,1,12/3/21,20.98611111111111,0.11785113019775789
109,109,74.668,C4,12,0.125,8,MM noC,PA14 WT,2,1,12/3/21,10.98611111111111,0.11785113019775789
110,110,149.35,C4,12,0.125,8,MM noC,PA14 WT,2,1,12/3/21,10.98611111111111,0.11785113019775789
111,111,224.037,C4,12,0.125,8,MM noC,PA14 WT,2,1,12/3/21,10.98611111111111,0.11785113019775789
113,113,74.668,C5,7,0.0625,16,MM noC,PA14 WT,2,1,12/3/21,5.986111111111111,0.11785113019775789
114,114,149.35,C5,7,0.0625,16,MM noC,PA14 WT,2,1,12/3/21,5.986111111111111,0.11785113019775789
115,115,224.037,C5,7,0.0625,16,MM noC,PA14 WT,2,1,12/3/21,5.986111111111111,0.11785113019775789
117,117,74.668,C6,4,0.03125,32,MM noC,PA14 WT,2,1,12/3/21,2.986111111111111,0.11785113019775789
118,118,149.35,C6,4,0.03125,32,MM noC,PA14 WT,2,1,12/3/21,2.986111111111111,0.11785113019775789
119,119,224.037,C6,4,0.03125,32,MM noC,PA14 WT,2,1,12/3/21,2.986111111111111,0.11785113019775789
121,121,74.668,C7,34,1.0,1,MM noC,PA14 dside,2,1,12/3/21,32.986111111111114,0.11785113019775789
122,122,149.35,C7,34,1.0,1,MM noC,PA14 dside,2,1,12/3/21,32.986111111111114,0.11785113019775789
123,123,224.037,C7,34,1.0,1,MM noC,PA14 dside,2,1,12/3/21,32.986111111111114,0.11785113019775789
125,125,74.668,C8,15,0.5,2,MM noC,PA14 dside,2,1,12/3/21,13.98611111111111,0.11785113019775789
126,126,149.35,C8,15,0.5,2,MM noC,PA14 dside,2,1,12/3/21,13.98611111111111,0.11785113019775789
127,127,224.037,C8,15,0.5,2,MM noC,PA14 dside,2,1,12/3/21,13.98611111111111,0.11785113019775789
129,129,74.668,C9,10,0.25,4,MM noC,PA14 dside,2,1,12/3/21,8.98611111111111,0.11785113019775789
130,130,149.35,C9,10,0.25,4,MM noC,PA14 dside,2,1,12/3/21,8.98611111111111,0.11785113019775789
131,131,224.037,C9,10,0.25,4,MM noC,PA14 dside,2,1,12/3/21,8.98611111111111,0.11785113019775789
133,133,74.668,C10,4,0.125,8,MM noC,PA14 dside,2,1,12/3/21,2.986111111111111,0.11785113019775789
