name,well,plate,date,pt_fluor,concentration,fold_dilution,replicate,blanked_pt_fluor,expected_blanked_pt_fluor,estimated_true_pt_fluor,F0_F_ratio,F_F0_ratio,u_blanked_pt_fluor,u_expected_blanked_pt_fluor,u_estimated_true_pt_fluor,u_F0_F_ratio,u_F_F0_ratio
AGG,A5,2,5/27/22,5427.75,0.900900901,1.0,1.0,5345.84375,6981.992961711712,4535.173704954955,1.3607688080225282,0.7348786907110267,69.30054669518339,352.300408710281,72.54707050552962,0.0804228310474808,0.043432083712539316
AGG,A6,2,5/27/22,5130.75,0.45045045,2.0,1.0,5048.84375,6594.3803490990995,4625.7863175675675,1.334113271343629,0.7495615413471356,86.09625875873637,352.3243096110753,85.54002444236995,0.07981293920042079,0.044842301633249794
AGG,A7,2,5/27/22,5247.5,0.225225225,4.0,1.0,5165.59375,6406.767736486487,4930.14893018018,1.2517518241464414,0.7988804016178617,179.51039646471156,352.00540142804704,183.92449609606624,0.08516315448078814,0.05435196797180513
AGG,A8,2,5/27/22,5350.5,0.112612613,8.0,1.0,5268.59375,6276.812781531532,5163.103885135135,1.1952738224838457,0.8366283785266411,122.34098157302537,351.9912786699598,124.67033449782306,0.07387614406018339,0.051709388639026375
AGG,B5,2,5/27/22,5498.0,0.900900901,1.0,1.0,5416.09375,7000.236204954956,4587.180461711711,1.3453412108325538,0.743305855754733,138.47857513800216,352.23253667012705,138.36768393372117,0.0866352577711031,0.04786629138955048
AGG,B6,2,5/27/22,5701.5,0.45045045,2.0,1.0,5619.59375,6625.01097972973,5165.905686936937,1.1946255488698014,0.8370823819615019,188.87557396052557,352.2705543036055,180.36442949042714,0.07974567463428221,0.055878345593014904
AGG,B7,2,5/27/22,4854.5,0.225225225,4.0,1.0,4772.59375,6460.371340090091,4483.545326576576,1.376438168269573,0.7265128380282985,234.12243756686664,352.19134626944475,245.98059538924346,0.10879075944252276,0.05742203697620923
AGG,B8,2,5/27/22,5276.75,0.112612613,8.0,1.0,5194.84375,6271.182150900901,5094.9845157657655,1.2112544989234633,0.8255903287779556,137.35804468220252,351.98772387288,142.37375688006415,0.07677771197475121,0.05233164172219047
AGG,C5,2,5/27/22,5737.5,0.900900901,1.0,2.0,5655.59375,7058.344313063063,4768.572353603604,1.2941657290788524,0.7726985636621435,62.5298523820261,352.1568732103484,66.81185465098005,0.07583133670769243,0.045276090718551404
AGG,C6,2,5/27/22,5597.25,0.45045045,2.0,2.0,5515.34375,6712.8488175675675,4973.8178490990995,1.240761745584324,0.8059565049928745,177.10043978559528,352.2217834637178,176.04305064198587,0.0831381989764826,0.05400373803991871
AGG,C7,2,5/27/22,5498.75,0.225225225,4.0,2.0,5416.84375,6499.335304054055,5088.831362612613,1.2127190855659051,0.8245932730030041,192.63756756904402,352.21563862694234,195.83338048516015,0.08329872009061591,0.05663930340836485
AGG,C8,2,5/27/22,5391.0,0.112612613,8.0,2.0,5309.09375,6295.506475225226,5184.910191441441,1.1902468295118138,0.8401618682825271,107.4351700899259,351.9746572832113,108.23585553193027,0.07213342087006831,0.050916959525666945
AGG,D5,2,5/27/22,5696.5,0.900900901,1.0,2.0,5614.59375,7052.038006756758,4733.878659909909,1.3036504228403931,0.7670768040877096,96.44678552921282,352.05007172816875,89.8705161469499,0.07819136980678394,0.04600833552291288
AGG,D6,2,5/27/22,5906.0,0.45045045,2.0,2.0,5824.09375,6705.866835585586,5289.549831081082,1.166700969599405,0.8571176557291772,188.1656604491141,352.2911934720553,180.5068055000712,0.07740398797738235,0.056864892074310336
AGG,D7,2,5/27/22,6077.25,0.225225225,4.0,2.0,5995.34375,6516.227195945947,5650.439470720721,1.0921845900031395,0.9155961447845785,190.8120343136616,351.9454478580336,190.47184609784617,0.07222761900678383,0.060549590348450665
AGG,D8,2,5/27/22,5560.75,0.112612613,8.0,2.0,5478.84375,6308.119087837838,5342.0475788288295,1.1552354833237268,0.865624380860343,127.1084803317673,351.9615902084449,129.23460669141102,0.07142208163521518,0.05351696350025906
BG,E5,1,5/27/22,5817.5,0.900900901,1.0,1.0,5735.59375,6810.821790540541,5096.094876126126,1.2109905852769154,0.8257702513610636,107.74962848621777,352.0568918558554,102.98557320533989,0.07311650348856821,0.049857888408431056
BG,E6,1,5/27/22,6368.0,0.45045045,2.0,1.0,6286.09375,6591.677646396397,5865.73902027027,1.0520964017219976,0.9504832431355815,132.57821253478258,351.9578429430849,125.60122916097791,0.06395798724810985,0.05778082221791576
BG,E7,1,5/27/22,5357.5,0.225225225,4.0,1.0,5275.59375,6351.587556306306,5095.329110360361,1.211172582379121,0.8256461668209892,168.47744390744026,352.0243269569112,168.04329026218394,0.07964980472188145,0.05429660224596858
BG,E8,1,5/27/22,5790.0,0.112612613,8.0,1.0,5708.09375,6278.839808558559,5600.576858108108,1.101908441401402,0.9075164164530808,324.3058984543008,351.9185422952536,322.0159751489007,0.08913164929019153,0.07340758262411881
BG,F5,1,5/27/22,6250.5,0.900900901,1.0,1.0,6168.59375,6868.028997747748,5471.887668918919,1.1278233929619275,0.8866636445390326,134.13419563600468,352.1083747539816,128.7160607719984,0.06943565209180753,0.05458839453842105
BG,F6,1,5/27/22,5922.25,0.45045045,2.0,1.0,5840.34375,6549.335304054055,5462.331362612613,1.129796511230865,0.8851151424698088,121.63839486603182,351.9570742683361,116.9753544169978,0.06868234067365134,0.05380772479487373
BG,F7,1,5/27/22,5501.5,0.225225225,4.0,1.0,5419.59375,6359.019988738739,5231.896677927928,1.1795574906327841,0.8477755496796863,283.95419074019316,351.94237304067724,279.11066709118677,0.09199822294608663,0.06612127399219213
BG,F8,1,5/27/22,5711.75,0.112612613,8.0,1.0,5629.84375,6263.074042792793,5538.092623873874,1.1143408635065137,0.8973914829375318,200.26290829536558,351.9193110541653,196.36198278095668,0.07470417692144628,0.06016013080433227
BG,G5,1,5/27/22,5793.5,0.900900901,1.0,2.0,5711.59375,6784.2452139639645,5098.6714527027025,1.2103786199825395,0.8261877593429613,142.70943360169997,352.0745659381194,132.29210064274005,0.07568745308497944,0.05166321202497508
BG,G6,1,5/27/22,5601.25,0.45045045,2.0,2.0,5519.34375,6519.605574324325,5171.061092342343,1.193434540118967,0.837917762879827,148.4696347369319,351.94938742851286,150.2897798253623,0.07624670355567899,0.053533281568980906
BG,G7,1,5/27/22,4383.0,0.225225225,4.0,2.0,4301.09375,6352.7136824324325,4119.7029842342345,1.4980019045751147,0.667555893584551,137.76906681926584,351.9246923195266,135.0257169260824,0.09835932970503651,0.043831953773280856
BG,G8,1,5/27/22,5682.25,0.112612613,8.0,2.0,5600.34375,6289.425394144144,5482.241272522522,1.125693418054744,0.8883413405117455,229.23619356226882,351.9174852490079,226.87190952812207,0.07919634788974879,0.06249782464713018
BG,H5,1,5/27/22,5957.75,0.900900901,1.0,2.0,5875.84375,6827.7136824324325,5219.4529842342345,1.1823696727047126,0.8457591759034757,93.24823021869075,352.02240562982763,87.69846791513444,0.07014309811277164,0.050173960162110925
BG,H6,1,5/27/22,5855.5,0.45045045,2.0,2.0,5773.59375,6550.01097972973,5394.905686936937,1.143916738268423,0.8741894987162496,141.72972790579732,351.98695526338565,132.35863356363907,0.07087632113607376,0.054164200568116286
BG,H7,1,5/27/22,5252.25,0.225225225,4.0,2.0,5170.34375,6338.074042792793,5003.592623873874,1.233378370417517,0.8107812038745945,186.60448129377284,351.9159477215282,183.4734364708222,0.08348440298947805,0.05487982145953116
BG,H8,1,5/27/22,5732.75,0.112612613,8.0,2.0,5650.84375,6288.299268018018,5533.867398648648,1.1151916864097038,0.8967068282399442,161.2096950318166,351.93161096837116,158.51086586298263,0.07103611676763544,0.05711894352643769
CG,A10,1,5/27/22,5425.25,0.45045045,2.0,1.0,5343.34375,6465.101069819821,5049.565596846847,1.2221492717156284,0.8182306557334197,47.2782448798385,351.9559212530652,39.647262226192574,0.0701931927367906,0.04699444122764276
CG,A11,1,5/27/22,5323.75,0.225225225,4.0,1.0,5241.84375,6336.497466216217,5076.66920045045,1.215624393277208,0.8226225185429974,151.50324233797105,351.9485226485267,144.3339706687816,0.07731748273857579,0.052321344265183777
CG,A12,1,5/27/22,6042.75,0.112612613,8.0,1.0,5960.84375,6269.155123873874,5863.011542792792,1.0525858377769821,0.9500412832001985,187.80281974875828,351.91863839020937,187.07283481558724,0.06866150132500058,0.06197239073919275
CG,A9,1,5/27/22,5729.75,0.900900901,1.0,1.0,5647.84375,6705.416385135136,5113.750281531531,1.2068095970494672,0.8286311299188399,55.628821417061296,351.958515532113,46.02716938152983,0.06951531245804855,0.04773126767437601
CG,B10,1,5/27/22,5431.75,0.45045045,2.0,1.0,5349.84375,6470.28125,5050.885416666666,1.221829918434268,0.8184445190877833,64.50761535600255,352.0246151550693,60.123898664606955,0.0710212064225467,0.04757365674104871
CG,B11,1,5/27/22,5796.25,0.225225225,4.0,1.0,5714.34375,6350.46143018018,5535.205236486487,1.1149221488639798,0.896923611230545,107.27176906771867,351.926998550921,101.17316674129103,0.06662657381899664,0.05359921072026665
CG,B12,1,5/27/22,6094.25,0.112612613,8.0,1.0,6012.34375,6272.758727477478,5910.907939189189,1.0440566796432291,0.9578024062273286,164.39352918809794,351.93016959441167,158.72784859135677,0.06568557038671902,0.06025898650666427
CG,B9,1,5/27/22,5672.75,0.900900901,1.0,1.0,5590.84375,6719.155123873874,5043.011542792793,1.223737614776313,0.8171686380521939,78.79868297705208,352.0443081369766,65.99452201303085,0.07144253180123439,0.04770679245786413
CG,C10,1,5/27/22,5847.0,0.45045045,2.0,2.0,5765.09375,6536.0470157657655,5400.3696509009005,1.142759350859835,0.875074878405134,130.02172551379488,351.92622980880213,125.07695876485748,0.07019803619285643,0.053754570408479245
CG,C11,1,5/27/22,5910.5,0.225225225,4.0,2.0,5828.59375,6364.200168918919,5635.716497747748,1.0950378570556145,0.9132104370243815,197.398030483888,351.9236352917533,193.07544683905252,0.07272517724912408,0.06064940172655167
CG,C12,1,5/27/22,5879.75,0.112612613,8.0,2.0,5797.84375,6273.434403153154,5695.732263513513,1.0834994748962756,0.9229353803754551,218.95790867710474,351.9154672428132,215.1307620854813,0.07399320998374971,0.06302813520799401
CG,C9,1,5/27/22,6317.25,0.900900901,1.0,2.0,6235.34375,6783.119087837838,5623.547578828829,1.0974074336811994,0.9112385877007859,59.40173206440456,352.2125661683526,43.139019601553,0.06300197195269708,0.052314050536327934
CG,D10,1,5/27/22,5671.5,0.45045045,2.0,2.0,5589.59375,6495.28125,5265.635416666666,1.1719996597435023,0.8532425685335564,101.20926722514754,351.9601489572587,91.72565243659152,0.06973631388285832,0.05076963212642455
CG,D11,1,5/27/22,6158.0,0.225225225,4.0,2.0,6076.09375,6389.200168918919,5858.216497747748,1.0534473963260484,0.9492642950066146,174.52310956504093,351.9146984755046,170.74706973171152,0.06734294639955543,0.060682910946088346
CG,D12,1,5/27/22,5608.75,0.112612613,8.0,2.0,5526.84375,6272.083051801803,5426.083614864865,1.1373438661653137,0.8792415642699296,162.9638991891088,351.91239216350266,160.72020524157907,0.07295315859233646,0.056397586681875916
CG,D9,1,5/27/22,6304.75,0.900900901,1.0,2.0,6222.84375,6767.803772522522,5626.362894144144,1.0968583137589136,0.9116947808628245,50.19195591843361,352.0174101303327,38.79688051649926,0.06286242846072443,0.05225045680111608
CS,A1,2,5/27/22,7802.25,0.900900901,1.0,1.0,7720.34375,9159.47043918919,4732.196227477478,1.3041139082172684,0.7668041830540755,101.41942173757779,352.9632735837818,83.56778663747092,0.07768947809298456,0.04568053174313941
CS,A2,2,5/27/22,6805.75,0.45045045,2.0,1.0,6723.84375,7827.7136824324325,5067.4529842342345,1.2178352588305748,0.821129124607748,57.837984395360536,353.88959987120165,83.4697802462566,0.07213410288428262,0.04863663810539788
CS,A3,2,5/27/22,5865.25,0.225225225,4.0,1.0,5783.34375,6977.7136824324325,4976.9529842342345,1.2399801517546787,0.8064645216981207,125.43749747285035,352.442926235646,122.41509569897075,0.0768590126725099,0.04998795085986876
CS,A4,2,5/27/22,5723.75,0.112612613,8.0,1.0,5641.84375,6610.371340090091,5202.795326576576,1.1861552356562484,0.8430599722023258,48.8183616984222,351.9915668951767,45.64632132876533,0.06828396931876501,0.04853283916408538
CS,B1,2,5/27/22,8361.0,0.900900901,1.0,1.0,8279.09375,9416.677646396398,5033.73902027027,1.22599183068798,0.8156661202537036,92.12843809369937,356.63859286090144,36.56544921102082,0.07031903464140431,0.04678404270748979
CS,B2,2,5/27/22,6660.75,0.45045045,2.0,1.0,6578.84375,7893.028997747748,4857.137668918918,1.2705678400176486,0.7870496706308179,91.80722069778231,353.2418764866908,93.05954825862031,0.07627770444356248,0.04725000922260619
CS,B3,2,5/27/22,6049.25,0.225225225,4.0,1.0,5967.34375,7137.623592342343,5001.043074324324,1.2340071510982649,0.8103680753470524,112.83867143958817,352.1107758248242,118.57338682694737,0.0760612349420615,0.04994914050024828
CS,B4,2,5/27/22,5602.5,0.112612613,8.0,1.0,5520.59375,6594.83079954955,5097.085867117117,1.2107551407912875,0.8259308313541013,35.033066840505334,351.9328601543609,20.41630122647113,0.0690564240166462,0.04710765023977864
CS,C1,2,5/27/22,8097.5,0.900900901,1.0,2.0,8015.59375,9334.92088963964,4851.995777027027,1.2719143215017459,0.7862164794396707,141.04602950426494,355.6351848877297,119.6434290195199,0.07886985304651153,0.04875232328773441
CS,C2,2,5/27/22,5828.75,0.45045045,2.0,2.0,5746.84375,7830.641610360361,4087.5250563063064,1.509794516646556,0.6623417882197148,87.77945339837777,352.65501228094035,96.32645990641991,0.09297682538840013,0.04078862130690969
CS,C3,2,5/27/22,5946.25,0.225225225,4.0,2.0,5864.34375,7078.164132882883,4957.502533783783,1.2448451361569841,0.8033127743802284,102.09749803782961,352.3181665624745,99.58963026315172,0.07511066491570832,0.04846976934436313
CS,C4,2,5/27/22,5442.25,0.112612613,8.0,2.0,5360.34375,6619.83079954955,4911.835867117117,1.2564187981079211,0.7959129563374331,31.747426755323637,351.9208485669507,17.897923626455377,0.07163041249735255,0.04537624990989719
CS,D1,2,5/27/22,8689.0,0.900900901,1.0,2.0,8607.09375,9594.83079954955,5183.585867117117,1.1905509187791048,0.8399472750191042,92.96764189177854,358.58408350678087,24.44049814232025,0.06796860289115592,0.04795262586822171
CS,D2,2,5/27/22,6670.25,0.45045045,2.0,2.0,6588.34375,7905.19115990991,4854.475506756757,1.2712646109918655,0.7866182943767942,149.92186555753398,352.65587532847815,168.00313465107075,0.08465847039339648,0.052383981281004924
CS,D3,2,5/27/22,6143.5,0.225225225,4.0,2.0,6061.59375,7170.731700450451,5062.184966216216,1.219102612380339,0.8202754959629414,98.79262340335939,352.1944189131517,98.60299979447473,0.07331306459463609,0.049328834021205914
CS,D4,2,5/27/22,5708.5,0.112612613,8.0,2.0,5626.59375,6648.659628378378,5149.257038288288,1.1984880286182282,0.8343846380784705,70.71526783930489,351.95467214892574,70.03507178215514,0.07010928891561401,0.04880992739263127
EC WT,E1,1,5/27/22,8268.0,0.900900901,1.0,1.0,8186.09375,7939.875844594595,6417.540822072072,0.9616336051095181,1.0398971028951431,83.75151205949221,351.9743690441475,77.24232710567489,0.055923027208365575,0.060474377840074124
EC WT,E2,1,5/27/22,7507.25,0.45045045,2.0,1.0,7425.34375,7185.596565315316,6411.070101351352,0.9626041860571529,1.0388485885315137,115.87881215124996,352.27045830464795,128.51559258686225,0.0580672940050534,0.06266659473410247
EC WT,E3,1,5/27/22,6713.0,0.225225225,4.0,1.0,6631.09375,6663.524493243243,6138.892173423424,1.0052828331769115,0.9947449284892128,62.099241317839855,351.9354546034027,55.238167147800795,0.057906448150719214,0.057299442230318645
EC WT,E4,1,5/27/22,6891.25,0.112612613,8.0,1.0,6809.34375,6460.596565315316,6520.070101351352,0.9465117430850317,1.056510927947529,96.70177060901212,351.9328601543609,90.69082702523379,0.055437765459778784,0.061880484269899394
EC WT,F1,1,5/27/22,8360.25,0.900900901,1.0,1.0,8278.34375,8034.470439189189,6415.196227477478,0.9619850582642732,1.0395171852297975,84.086656326978,352.16647607284597,85.42738110337211,0.05621128797364379,0.06074169172433379
EC WT,F2,1,5/27/22,7224.5,0.45045045,2.0,1.0,7142.59375,7118.028997747748,6195.887668918919,0.9960353134909984,1.0039804678160513,80.8454231166983,352.44551692995014,91.79125998191004,0.05855910313611817,0.05902621620455192
EC WT,F3,1,5/27/22,7568.25,0.225225225,4.0,1.0,7486.34375,6803.164132882883,6854.502533783784,0.9003312620062608,1.1107022961433568,141.44221118741254,352.08762882000264,129.80008742084945,0.05398709286846205,0.06660169488892907
EC WT,F4,1,5/27/22,6626.5,0.112612613,8.0,1.0,6544.59375,6440.326295045045,6275.590371621622,0.9833852356861189,1.0168954787106284,113.99699896160135,351.91863839020937,112.477071539209,0.05866017790757952,0.060659106451765414
EC WT,G1,1,5/27/22,8046.75,0.900900901,1.0,2.0,7964.84375,7918.254222972973,6217.912443693694,0.9925072076120534,1.0075493581613115,135.21303846985816,352.314711050566,139.07189839067033,0.06067535799768877,0.061594936074937476
EC WT,G2,1,5/27/22,7582.75,0.45045045,2.0,2.0,7500.84375,7191.227195945947,6480.939470720721,0.9522265937750499,1.0501702079497224,121.82459701931275,352.1618667315265,113.98238612101943,0.056706320468564865,0.06253898887915804
EC WT,G3,1,5/27/22,6653.75,0.225225225,4.0,2.0,6571.84375,6673.659628378378,6069.507038288288,1.0167749831635575,0.9835017742948746,194.9971771733752,351.94631264557495,191.04673143884753,0.06611235529441017,0.06394887739326513
