name,well,plate,date,pt_fluor,concentration,fold_dilution,replicate,blanked_pt_fluor,u_blanked_pt_fluor
BLANK,F12,2,5/27/22,75.5,1.0,1.0,1.0,-6.40625,26.292884441447438
BLANK,F9,1,5/27/22,81.75,1.0,1.0,1.0,-0.15625,26.202400123868593
BLANK,F9,2,5/27/22,71.75,1.0,1.0,1.0,-10.15625,26.164207846814488
BLANK,G10,1,5/27/22,90.0,1.0,1.0,1.0,8.09375,26.184902245084707
BLANK,G10,2,5/27/22,76.5,1.0,1.0,1.0,-5.40625,26.191266462658415
BLANK,G11,1,5/27/22,82.75,1.0,1.0,1.0,0.84375,26.1769447972443
BLANK,G11,2,5/27/22,87.25,1.0,1.0,1.0,5.34375,26.21511851809897
BLANK,G12,1,5/27/22,87.0,1.0,1.0,1.0,5.09375,26.197629134166107
BLANK,G12,2,5/27/22,73.5,1.0,1.0,1.0,-8.40625,26.24212463930164
BLANK,G9,1,5/27/22,82.0,1.0,1.0,1.0,0.09375,26.17216916722753
BLANK,G9,2,5/27/22,78.25,1.0,1.0,1.0,-3.65625,26.24053681332203
BLANK,H10,1,5/27/22,84.25,1.0,1.0,1.0,2.34375,26.164207846814488
BLANK,H10,2,5/27/22,75.75,1.0,1.0,1.0,-6.15625,26.202400123868593
BLANK,H11,1,5/27/22,91.0,1.0,1.0,1.0,9.09375,26.24847498271043
BLANK,H11,2,5/27/22,78.0,1.0,1.0,1.0,-3.90625,26.184902245084707
BLANK,H12,1,5/27/22,95.75,1.0,1.0,1.0,13.84375,26.164207846814488
BLANK,H12,2,5/27/22,79.5,1.0,1.0,1.0,-2.40625,26.229419340084053
BLANK,H9,1,5/27/22,95.75,1.0,1.0,1.0,13.84375,26.202400123868593
BLANK,H9,2,5/27/22,76.25,1.0,1.0,1.0,-5.65625,26.1769447972443
CG,A10,1,5/27/22,408.0,0.5,2.0,1.0,326.09375,26.950246237303823
CG,A11,1,5/27/22,265.25,0.25,4.0,1.0,183.34375,26.830935607701832
CG,A12,1,5/27/22,190.5,0.125,8.0,1.0,108.59375,26.34354643775161
CG,A9,1,5/27/22,674.75,1.0,1.0,1.0,592.84375,26.991957547597558
CG,B10,1,5/27/22,413.75,0.5,2.0,1.0,331.84375,28.033892087697033
CG,B11,1,5/27/22,280.75,0.25,4.0,1.0,198.84375,26.48079377431831
CG,B12,1,5/27/22,194.5,0.125,8.0,1.0,112.59375,26.532667391688598
CG,B9,1,5/27/22,690.0,1.0,1.0,1.0,608.09375,28.336944770351934
CG,C10,1,5/27/22,486.75,0.5,2.0,2.0,404.84375,26.468203041598965
CG,C11,1,5/27/22,296.0,0.25,4.0,2.0,214.09375,26.425665029499424
CG,C12,1,5/27/22,195.25,0.125,8.0,2.0,113.34375,26.2912996810347
CG,C9,1,5/27/22,761.0,1.0,1.0,2.0,679.09375,30.80555857175739
CG,D10,1,5/27/22,441.5,0.5,2.0,2.0,359.59375,27.018187187855062
CG,D11,1,5/27/22,323.75,0.25,4.0,2.0,241.84375,26.27861815718834
CG,D12,1,5/27/22,193.75,0.125,8.0,2.0,111.84375,26.24053681332203
CG,D9,1,5/27/22,744.0,1.0,1.0,2.0,662.09375,27.92219736311313
CS,A1,2,5/27/22,3398.75,1.0,1.0,1.0,3316.84375,40.01540252100403
CS,A2,2,5/27/22,1920.5,0.5,2.0,1.0,1838.59375,49.07119765114741
CS,A3,2,5/27/22,977.0,0.25,4.0,1.0,895.09375,33.89664347568908
CS,A4,2,5/27/22,569.25,0.125,8.0,1.0,487.34375,27.517856728276918
CS,B1,2,5/27/22,3684.25,1.0,1.0,1.0,3602.34375,69.38707208299907
CS,B2,2,5/27/22,1993.0,0.5,2.0,1.0,1911.09375,42.9377352172264
CS,B3,2,5/27/22,1154.5,0.25,4.0,1.0,1072.59375,29.33682166807854
CS,B4,2,5/27/22,552.0,0.125,8.0,1.0,470.09375,26.57660196961434
CS,C1,2,5/27/22,3593.5,1.0,1.0,2.0,3511.59375,62.721467129827055
CS,C2,2,5/27/22,1923.75,0.5,2.0,2.0,1841.84375,36.51345558719382
CS,C3,2,5/27/22,1088.5,0.25,4.0,2.0,1006.59375,32.25909337821883
