,name,K_SV,K_SV err,R,quencher
0,BG WT,0.4307994645751413,0.10476331467099531,0.8554669677099528,True
1,BG dtox,0.2500779180252658,0.07649760104304809,0.8055796525725238,True
2,EC WT,0.06038239236313864,0.05783922946451564,0.6731495751543224,False
3,PA14 WT,0.8429576620967754,0.09819353162111732,0.9514456335357732,True
4,PA14 dphz,0.4970630586910786,0.08795699581980965,0.7670234725032001,True
5,PA14 dphz dside,0.5685961210316922,0.0892420474450264,0.9376386222209578,True
6,PA14 dside,0.7723978413106017,0.1146727812049485,0.9395832848024402,True
