name,well,plate,date,pt_fluor,concentration,fold_dilution,replicate,blanked_pt_fluor,u_blanked_pt_fluor
BLANK,G10,2,1/11/22,59.25,1.0,1.0,1.0,2.375,3.3855990166814443
BLANK,G11,2,1/11/22,57.25,1.0,1.0,1.0,0.375,3.577095754252001
BLANK,G12,2,1/11/22,55.75,1.0,1.0,1.0,-1.125,3.577095754252001
BLANK,G7,2,1/11/22,52.75,1.0,1.0,1.0,-4.125,3.7588492079918594
BLANK,G8,2,1/11/22,58.0,1.0,1.0,1.0,1.125,3.7254459288011454
BLANK,G9,2,1/11/22,58.75,1.0,1.0,1.0,1.875,3.3855990166814443
BLANK,H10,2,1/11/22,61.5,1.0,1.0,1.0,4.625,3.942792669553865
BLANK,H11,2,1/11/22,63.0,1.0,1.0,1.0,6.125,3.8138712661923577
BLANK,H12,2,1/11/22,60.5,1.0,1.0,1.0,3.625,3.3978837583248334
BLANK,H7,2,1/11/22,54.5,1.0,1.0,1.0,-2.375,3.298324933723333
BLANK,H8,2,1/11/22,57.25,1.0,1.0,1.0,0.375,3.8465067314496793
BLANK,H9,2,1/11/22,59.5,1.0,1.0,1.0,2.625,4.026447652926133
EC WT,A1,2,1/11/22,2171.75,1.0,1.0,1.0,2114.875,81.97639262231795
EC WT,A2,2,1/11/22,1112.75,0.5,2.0,1.0,1055.875,13.788725371419254
EC WT,A3,2,1/11/22,595.5,0.25,4.0,1.0,538.625,9.842710366988404
EC WT,A4,2,1/11/22,369.5,0.125,8.0,1.0,312.625,8.536916736645669
EC WT,A5,2,1/11/22,218.25,0.0625,16.0,1.0,161.375,3.577095754252001
EC WT,A6,2,1/11/22,140.75,0.03125,32.0,1.0,83.875,3.285667973957152
EC WT,B1,2,1/11/22,2084.0,1.0,1.0,1.0,2027.125,12.670659573798337
EC WT,B2,2,1/11/22,1097.0,0.5,2.0,1.0,1040.125,14.510190006856837
EC WT,B3,2,1/11/22,608.75,0.25,4.0,1.0,551.875,15.857562255963364
EC WT,B4,2,1/11/22,390.25,0.125,8.0,1.0,333.375,5.176448013366665
EC WT,B5,2,1/11/22,217.5,0.0625,16.0,1.0,160.625,4.3449910665525
EC WT,B6,2,1/11/22,148.75,0.03125,32.0,1.0,91.875,3.4826638322440813
EC WT,C1,2,1/11/22,1991.0,1.0,1.0,2.0,1934.125,20.162976318864427
EC WT,C2,2,1/11/22,1142.0,0.5,2.0,2.0,1085.125,9.550512064897571
EC WT,C3,2,1/11/22,595.75,0.25,4.0,2.0,538.875,6.010736008877866
EC WT,C4,2,1/11/22,375.75,0.125,8.0,2.0,318.875,6.889287387078164
EC WT,C5,2,1/11/22,216.75,0.0625,16.0,2.0,159.875,5.366154492286605
EC WT,C6,2,1/11/22,143.5,0.03125,32.0,2.0,86.625,4.712990632470467
EC WT,D1,2,1/11/22,2071.5,1.0,1.0,2.0,2014.625,42.905465238922915
EC WT,D2,2,1/11/22,1102.75,0.5,2.0,2.0,1045.875,13.618453682476387
EC WT,D3,2,1/11/22,615.5,0.25,4.0,2.0,558.625,11.89729439978215
EC WT,D4,2,1/11/22,390.5,0.125,8.0,2.0,333.625,4.4210421887930105
EC WT,D5,2,1/11/22,210.0,0.0625,16.0,2.0,153.125,4.6774937058665325
EC WT,D6,2,1/11/22,151.5,0.03125,32.0,2.0,94.625,3.9427926695538664
PA14 WT,A1,1,1/11/22,3755.25,1.0,1.0,1.0,3698.375,27.509918466529317
PA14 WT,A2,1,1/11/22,2295.75,0.5,2.0,1.0,2238.875,44.461169733095055
PA14 WT,A3,1,1/11/22,1201.75,0.25,4.0,1.0,1144.875,51.07637040780293
PA14 WT,A4,1,1/11/22,743.0,0.125,8.0,1.0,686.125,20.749593105289744
PA14 WT,A5,1,1/11/22,415.5,0.0625,16.0,1.0,358.625,13.249362778454211
PA14 WT,A6,1,1/11/22,235.5,0.03125,32.0,1.0,178.625,8.054746884193257
PA14 WT,B1,1,1/11/22,4599.75,1.0,1.0,1.0,4542.875,96.4510011043694
PA14 WT,B2,1,1/11/22,2251.0,0.5,2.0,1.0,2194.125,39.95679684403002
PA14 WT,B3,1,1/11/22,1320.5,0.25,4.0,1.0,1263.625,30.235943522598323
PA14 WT,B4,1,1/11/22,796.5,0.125,8.0,1.0,739.625,25.289239095613144
PA14 WT,B5,1,1/11/22,460.0,0.0625,16.0,1.0,403.125,10.826462058389815
PA14 WT,B6,1,1/11/22,262.25,0.03125,32.0,1.0,205.375,10.589095682277167
PA14 WT,C1,1,1/11/22,4495.25,1.0,1.0,2.0,4438.375,155.01869440178837
PA14 WT,C2,1,1/11/22,2889.5,0.5,2.0,2.0,2832.625,47.04833274447764
PA14 WT,C3,1,1/11/22,1545.75,0.25,4.0,2.0,1488.875,47.813480812093374
PA14 WT,C4,1,1/11/22,928.75,0.125,8.0,2.0,871.875,22.25898202303407
PA14 WT,C5,1,1/11/22,505.5,0.0625,16.0,2.0,448.625,11.469333635180716
PA14 WT,C6,1,1/11/22,276.0,0.03125,32.0,2.0,219.125,9.374377172293688
PA14 WT,D1,1,1/11/22,5252.0,1.0,1.0,2.0,5195.125,216.44062838116852
PA14 WT,D2,1,1/11/22,2720.75,0.5,2.0,2.0,2663.875,31.328298400994548
PA14 WT,D3,1,1/11/22,1616.0,0.25,4.0,2.0,1559.125,34.95538509827095
PA14 WT,D4,1,1/11/22,963.75,0.125,8.0,2.0,906.875,18.279194385104095
PA14 WT,D5,1,1/11/22,531.75,0.0625,16.0,2.0,474.875,16.14916759573347
PA14 WT,D6,1,1/11/22,300.5,0.03125,32.0,2.0,243.625,13.79174683286183
PA14 dphz,E1,1,1/11/22,821.0,1.0,1.0,1.0,764.125,22.118143699274444
PA14 dphz,E2,1,1/11/22,521.25,0.5,2.0,1.0,464.375,11.111358184387472
PA14 dphz,E3,1,1/11/22,268.0,0.25,4.0,1.0,211.125,5.021183197390268
PA14 dphz,E4,1,1/11/22,171.25,0.125,8.0,1.0,114.375,5.303673007305507
PA14 dphz,E5,1,1/11/22,118.75,0.0625,16.0,1.0,61.875,5.841998576550755
PA14 dphz,E6,1,1/11/22,84.25,0.03125,32.0,1.0,27.375,3.8465067314496797
